,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
Total,196575,243655,440230

,Recode: Expressed interest in STEM major or occupation,,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,1654,1251,2905
AL,31282,24211,55493
AR,16361,10659,27020
AZ,21859,13454,35313
CA,68872,52880,121752
CO,37272,20056,57328
CT,7945,4770,12715
DC,855,374,1229
DE,818,801,1619
FL,80125,50386,130511
GA,31098,23629,54727
HI,7558,4402,11960
IA,14132,8468,22600
ID,4066,3314,7380
IL,104350,52873,157223
IN,15490,11940,27430
KS,14550,9397,23947
KY,29912,19647,49559
LA,28021,21152,49173
MA,11582,7750,19332
MD,8955,7131,16086
ME,715,661,1376
MI,73661,44881,118542
MN,28562,18266,46828
MO,29930,19484,49414
MS,16803,12631,29434
MT,5898,3593,9491
NC,58272,42298,100570
ND,4613,2549,7162
NE,11526,6821,18347
NH,1755,1433,3188
NJ,18379,11949,30328
NM,7341,6023,13364
NV,5484,3867,9351
NY,34684,23995,58679
OH,54985,36698,91683
OK,18477,12398,30875
OR,8886,5288,14174
PA,16060,13629,29689
RI,1126,808,1934
SC,13956,11268,25224
SD,3713,2901,6614
TN,41895,26725,68620
TX,67660,57343,125003
UT,25853,14518,40371
VA,13783,11075,24858
VT,1295,887,2182
WA,9759,7207,16966
WI,28272,18397,46669
WV,6143,5146,11289
WY,3908,2156,6064
Total,1150151,773440,1923591

,Recode: Measured STEM interest [Science or Technical],,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,286,116,402
AL,15540,3930,19470
AR,6768,1824,8592
AZ,6676,2273,8949
CA,19411,8168,27579
CO,9398,2959,12357
CT,608,244,852
DC,176,32,208
DE,91,52,143
FL,29720,7762,37482
GA,10518,2995,13513
HI,2458,633,3091
IA,2091,839,2930
ID,792,330,1122
IL,29522,7563,37085
IN,3451,1139,4590
KS,3325,1119,4444
KY,12780,3357,16137
LA,12753,3122,15875
MA,956,404,1360
MD,1299,386,1685
ME,79,43,122
MI,23192,6374,29566
MN,4423,1666,6089
MO,8365,2713,11078
MS,9227,2249,11476
MT,1628,500,2128
NC,23626,6437,30063
ND,800,261,1061
NE,2770,958,3728
NH,117,77,194
NJ,2675,744,3419
NM,2909,1269,4178
NV,1548,639,2187
NY,4723,1926,6649
OH,13355,4220,17575
OK,5488,2057,7545
OR,1849,688,2537
PA,2188,888,3076
RI,135,61,196
SC,4692,1333,6025
SD,819,350,1169
TN,15267,4521,19788
TX,20276,6839,27115
UT,5866,1732,7598
VA,2113,728,2841
VT,167,78,245
WA,1955,614,2569
WI,5650,2083,7733
WV,2191,837,3028
WY,1052,334,1386
Total,337764,102466,440230

Recode: Potential first-gen college student,N
No,1147811
Yes,421607
,354173
Total,1923591

Recode: Family income ($36k or less),N
No,944890
Yes,440230
,538471
Total,1923591

Recode: ACT Composite score [categorical],N
Less than 19,703552
19 to 23,605257
24 or higher,614782
Total,1923591

Recode: Met 3 or more benchmarks,N
No,1151069
Yes,772522
Total,1923591

Recode: Met 3 or more benchmarks,N
No,338047
Yes,83560
Total,421607

Recode: Met 3 or more benchmarks,N
No,352576
Yes,87654
Total,440230

PSE: Student enrolled in college in Fall 2015,N
No,640954
Yes,1282637
Total,1923591

PSE: Student enrolled in college in Fall 2015,N
No,196889
Yes,224718
Total,421607

PSE: Student enrolled in college in Fall 2015,N
No,196575
Yes,243655
Total,440230

