,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
TX-33,2022,658,362,3042
TX-34,1889,1056,454,3399
TX-35,2195,1461,1108,4764
TX-36,511,517,334,1362
TX-4,1420,1681,1159,4260
TX-5,3537,1759,1130,6426
TX-6,2284,1777,1399,5460
TX-7,1351,1814,3274,6439
TX-8,794,997,1306,3097
TX-9,415,233,183,831
UT-1,4005,2910,2115,9030
UT-2,5837,3826,3074,12737
UT-3,4658,4436,4479,13573
UT-4,1712,1442,1042,4196
VA-1,398,716,879,1993
VA-10,718,1737,3977,6432
VA-11,346,515,1021,1882
VA-2,292,427,555,1274
VA-3,1127,800,688,2615
VA-4,581,781,827,2189
VA-5,450,491,567,1508
VA-6,422,685,800,1907
VA-7,394,702,1146,2242
VA-8,366,457,1009,1832
VA-9,260,374,277,911
VT-A,407,653,1122,2182
WA-1,418,624,1365,2407
WA-10,858,562,531,1951
WA-2,420,344,451,1215
WA-3,303,419,510,1232
WA-4,1117,463,422,2002
WA-5,314,436,525,1275
WA-6,291,304,521,1116
WA-7,326,474,1032,1832
WA-8,204,199,339,742
WA-9,676,717,1721,3114
WI-1,1145,1822,1786,4753
WI-2,1522,2397,3131,7050
WI-3,833,1624,1550,4007
WI-4,3904,2108,1963,7975
WI-5,945,2230,3333,6508
WI-6,789,1469,1599,3857
WI-7,1090,2360,2228,5678
WI-8,1158,2678,2845,6681
WV-1,1079,1382,1047,3508
WV-2,1269,1553,1149,3971
WV-3,1450,1359,829,3638
WY-A,2437,2118,1509,6064
,7861,3528,2475,13864
Total,703552,605257,614782,1923591

,Recode: Met 3 or more benchmarks,,
Student: Full Congressional district,No,Yes,Total
,N,N,N
AK-A,1683,1222,2905
AL-1,5978,1941,7919
AL-2,4597,1437,6034
AL-3,6649,1770,8419
AL-4,4524,1258,5782
AL-5,5617,3073,8690
AL-6,4800,2224,7024
AL-7,8849,2199,11048
AR-1,3996,1529,5525
AR-2,4898,2906,7804
AR-3,3029,2286,5315
AR-4,5634,2459,8093
AZ-1,2773,1449,4222
AZ-2,2971,1199,4170
AZ-3,1414,191,1605
AZ-4,2456,902,3358
AZ-5,1956,2129,4085
AZ-6,2127,2741,4868
AZ-7,5540,1063,6603
AZ-8,2848,1355,4203
AZ-9,978,679,1657
CA-1,695,682,1377
CA-10,1094,810,1904
CA-11,1571,3136,4707
CA-12,616,602,1218
CA-13,1298,892,2190
CA-14,1441,2429,3870
CA-15,625,868,1493
CA-16,2066,691,2757
CA-17,973,2952,3925
CA-18,661,2250,2911
CA-19,437,461,898
CA-2,490,1053,1543
CA-20,1125,924,2049
CA-21,1646,807,2453
CA-22,833,551,1384
CA-23,156,175,331
CA-24,1006,1382,2388
CA-25,1233,1341,2574
CA-26,714,1123,1837
CA-27,1215,2011,3226
CA-28,1259,791,2050
CA-29,360,114,474
CA-3,607,565,1172
CA-30,1458,2015,3473
CA-31,1929,977,2906
CA-32,608,331,939
CA-33,802,1967,2769
CA-34,801,203,1004
CA-35,1353,626,1979
CA-36,823,367,1190
CA-37,3020,1076,4096
CA-38,2057,1218,3275
CA-39,1119,1671,2790
CA-4,823,1687,2510
CA-40,1311,229,1540
CA-41,1950,832,2782
CA-42,987,799,1786
CA-43,1094,358,1452
CA-44,2338,451,2789
CA-45,1491,3754,5245
CA-46,164,102,266
CA-47,1752,1756,3508
CA-48,1147,1462,2609
CA-49,847,2122,2969
CA-5,897,1086,1983
CA-50,1890,2764,4654
CA-51,860,312,1172
CA-52,447,1067,1514
CA-53,1726,1216,2942
CA-6,2258,1443,3701
CA-7,682,1152,1834
CA-8,710,325,1035
CA-9,1047,724,1771
CO-1,4393,1863,6256
CO-2,3720,4074,7794
CO-3,5007,2207,7214
CO-4,4376,2283,6659
CO-5,5300,3538,8838
CO-6,7841,5919,13760
CO-7,3771,2356,6127
CT-1,785,1182,1967
CT-2,801,1500,2301
CT-3,878,1232,2110
CT-4,1120,2795,3915
CT-5,841,1546,2387
DC-A,839,390,1229
DE-A,723,896,1619
FL-1,3207,2185,5392
FL-10,6656,2502,9158
FL-11,2454,1069,3523
FL-12,2586,1757,4343
FL-13,1540,827,2367
FL-14,4093,1868,5961
FL-15,2370,1463,3833
FL-16,2553,1561,4114
FL-17,1651,544,2195
FL-18,2450,1133,3583
FL-19,2809,1335,4144
FL-2,2609,1320,3929
FL-20,6269,1669,7938
FL-21,5048,2858,7906
FL-22,873,588,1461
FL-23,4114,2032,6146
FL-24,2302,567,2869
FL-25,6147,2233,8380
FL-26,4261,1790,6051
FL-27,1983,1215,3198
FL-3,2596,1258,3854
FL-4,1954,1172,3126
FL-5,4644,1152,5796
FL-6,3062,1924,4986
FL-7,2971,2015,4986
FL-8,4033,2538,6571
FL-9,3220,715,3935
GA-1,1826,862,2688
GA-10,2144,1376,3520
GA-11,939,938,1877
GA-12,2247,992,3239
GA-13,5388,1846,7234
GA-14,2778,1385,4163
GA-2,2993,871,3864
GA-3,1778,1086,2864
GA-4,4880,2076,6956
GA-5,1182,913,2095
GA-6,2764,5108,7872
GA-7,623,424,1047
GA-8,1357,488,1845
GA-9,2915,2353,5268
HI-1,4325,1725,6050
HI-2,4591,1122,5713
IA-1,2425,2678,5103
IA-2,2612,2613,5225
IA-3,3874,3193,7067
IA-4,2665,2451,5116
ID-1,1263,1310,2573
ID-2,2232,2561,4793
IL-1,2443,455,2898
IL-10,840,1764,2604
IL-11,9177,8064,17241
IL-12,5119,2417,7536
IL-13,4326,2600,6926
IL-14,9274,8440,17714
IL-15,6210,3187,9397
IL-16,5826,2850,8676
IL-17,4849,2229,7078
IL-18,3048,1964,5012
IL-2,10075,2854,12929
IL-3,5296,2928,8224
IL-4,14434,4677,19111
IL-5,920,418,1338
IL-6,436,959,1395
IL-7,1675,565,2240
IL-8,8749,8160,16909
IL-9,3587,5127,8714
IN-1,2779,1834,4613
IN-2,956,1072,2028
IN-3,1263,1437,2700
IN-4,945,1124,2069
IN-5,2615,3357,5972
IN-6,1151,1074,2225
IN-7,1337,682,2019
IN-8,1193,1170,2363
IN-9,1837,1526,3363
KS-1,3433,2494,5927
KS-2,2525,2027,4552
KS-3,3525,4305,7830
KS-4,3235,2368,5603
KY-1,4847,1892,6739
KY-2,8192,3777,11969
KY-3,3977,1674,5651
KY-4,6023,4206,10229
KY-5,5848,1721,7569
KY-6,4409,2562,6971
LA-1,3268,1948,5216
LA-2,9302,3184,12486
LA-3,6280,2320,8600
LA-4,5277,1582,6859
LA-5,7260,1991,9251
LA-6,3881,2258,6139
MA-1,492,726,1218
MA-2,651,1140,1791
MA-3,807,1764,2571
MA-4,907,2489,3396
MA-5,911,2302,3213
MA-6,1024,1799,2823
MA-7,617,424,1041
MA-8,646,1172,1818
MA-9,548,872,1420
MD-1,476,689,1165
MD-2,1143,1245,2388
MD-3,567,722,1289
MD-4,1690,1122,2812
MD-5,1196,740,1936
MD-6,596,511,1107
MD-7,234,330,564
MD-8,1666,3134,4800
ME-1,343,638,981
ME-2,136,252,388
MI-1,4750,2437,7187
MI-10,6223,3328,9551
MI-11,3295,3838,7133
MI-12,6390,3324,9714
MI-13,4116,725,4841
MI-14,7700,1957,9657
MI-2,4712,2619,7331
MI-3,8264,4584,12848
MI-4,5684,2653,8337
MI-5,3295,892,4187
MI-6,4959,2469,7428
MI-7,4271,1933,6204
MI-8,7034,5430,12464
MI-9,6948,3876,10824
MN-1,2294,2563,4857
MN-2,2786,4262,7048
MN-3,2028,3970,5998
MN-4,3206,2639,5845
MN-5,3418,2766,6184
MN-6,3591,5131,8722
MN-7,2151,2150,4301
MN-8,1781,2005,3786
MO-1,4073,932,5005
MO-2,2753,4744,7497
MO-3,5387,5158,10545
MO-4,3267,2474,5741
MO-5,2149,863,3012
MO-6,4549,3653,8202
MO-7,2797,2224,5021
MO-8,2714,1508,4222
MS-1,5993,1766,7759
MS-2,4591,676,5267
MS-3,6912,1866,8778
MS-4,5442,1995,7437
MT-A,6016,3475,9491
NC-1,4572,794,5366
NC-10,6628,2423,9051
NC-11,3951,1381,5332
NC-12,1833,549,2382
NC-13,1427,892,2319
NC-2,1810,852,2662
NC-3,7442,2184,9626
NC-4,10756,6045,16801
NC-5,2526,1164,3690
NC-6,7727,2835,10562
NC-7,6162,1678,7840
NC-8,7390,1621,9011
NC-9,9320,5345,14665
ND-A,4405,2757,7162
NE-1,3306,2597,5903
NE-2,3734,3173,6907
NE-3,3327,2134,5461
NH-1,597,1169,1766
NH-2,549,859,1408
NJ-1,677,487,1164
NJ-10,1608,655,2263
NJ-11,921,1985,2906
NJ-12,627,1356,1983
NJ-2,799,809,1608
NJ-3,693,991,1684
NJ-4,999,1408,2407
NJ-5,1422,2570,3992
NJ-6,1082,1392,2474
NJ-7,1586,4211,5797
NJ-8,1606,480,2086
NJ-9,885,1015,1900
NM-1,2148,1839,3987
NM-2,4219,1220,5439
NM-3,2510,1052,3562
NV-1,383,119,502
NV-2,1807,1285,3092
NV-3,1554,1440,2994
NV-4,1775,796,2571
NY-1,1166,1663,2829
NY-10,133,342,475
NY-11,845,1127,1972
NY-12,112,446,558
NY-13,965,788,1753
NY-14,485,663,1148
NY-15,980,224,1204
NY-16,840,1063,1903
NY-17,1276,2869,4145
NY-18,1250,2434,3684
NY-19,502,793,1295
NY-2,1602,2039,3641
NY-20,829,1879,2708
NY-21,749,959,1708
NY-22,732,1236,1968
NY-23,602,1029,1631
NY-24,807,1385,2192
NY-25,840,2045,2885
NY-26,958,1327,2285
NY-27,823,1664,2487
NY-3,2195,5200,7395
NY-4,1124,1808,2932
NY-5,1064,972,2036
NY-6,255,497,752
NY-7,698,695,1393
NY-8,44,44,88
NY-9,866,658,1524
OH-1,5258,5691,10949
OH-10,1925,1711,3636
OH-11,2466,607,3073
OH-12,3308,4162,7470
OH-13,3474,2548,6022
OH-14,3004,3610,6614
OH-15,1609,1379,2988
OH-16,3271,3366,6637
OH-2,1532,1699,3231
OH-3,4408,3518,7926
OH-4,2566,2039,4605
OH-5,2417,2678,5095
OH-6,2687,1512,4199
OH-7,4628,4688,9316
OH-8,2947,3020,5967
OH-9,2354,1322,3676
OK-1,4579,3082,7661
OK-2,3808,1354,5162
OK-3,3539,1618,5157
OK-4,4402,2420,6822
OK-5,3564,2250,5814
OR-1,2998,2469,5467
OR-2,1089,901,1990
OR-3,2098,1892,3990
OR-4,817,597,1414
OR-5,594,553,1147
PA-1,354,139,493
PA-10,588,681,1269
PA-11,340,384,724
PA-12,738,1178,1916
PA-13,1309,1486,2795
PA-14,319,195,514
PA-15,723,1061,1784
PA-16,525,917,1442
PA-17,349,237,586
PA-18,1273,1903,3176
PA-2,1355,780,2135
PA-3,938,1004,1942
PA-4,683,903,1586
PA-5,644,597,1241
PA-6,1341,2512,3853
PA-7,464,535,999
PA-8,819,1547,2366
PA-9,392,354,746
RI-1,306,504,810
RI-2,524,575,1099
SC-1,1429,995,2424
SC-2,2940,1949,4889
SC-3,1653,913,2566
SC-4,2493,1878,4371
SC-5,1658,984,2642
SC-6,3617,1354,4971
SC-7,2251,946,3197
SD-A,3442,3172,6614
TN-1,3983,1844,5827
TN-2,4038,2401,6439
TN-3,6734,2600,9334
TN-4,3674,1560,5234
TN-5,4638,1737,6375
TN-6,5595,2234,7829
TN-7,6748,4180,10928
TN-8,4106,1951,6057
TN-9,7963,2123,10086
TX-1,1671,844,2515
TX-10,426,244,670
TX-11,1298,724,2022
TX-12,767,770,1537
TX-13,2022,1180,3202
TX-14,1015,689,1704
TX-15,7337,1534,8871
TX-16,2228,735,2963
TX-17,1285,873,2158
TX-18,448,125,573
TX-19,2503,1226,3729
TX-2,2036,1716,3752
TX-20,316,95,411
TX-21,1053,1801,2854
TX-22,2700,3175,5875
TX-23,3789,2042,5831
TX-24,2192,1837,4029
TX-25,1032,1108,2140
TX-26,3132,4180,7312
TX-27,1359,556,1915
TX-28,1729,393,2122
TX-29,1974,443,2417
TX-3,2765,5398,8163
TX-30,1400,203,1603
TX-31,1979,2310,4289
TX-32,1077,965,2042
TX-33,2530,512,3042
TX-34,2688,711,3399
TX-35,3254,1510,4764
TX-36,900,462,1362
TX-4,2662,1598,4260
TX-5,4858,1568,6426
TX-6,3610,1850,5460
TX-7,2638,3801,6439
TX-8,1495,1602,3097
TX-9,592,239,831
UT-1,6142,2888,9030
UT-2,8733,4004,12737
UT-3,7972,5601,13573
UT-4,2802,1394,4196
VA-1,905,1088,1993
VA-10,1911,4521,6432
VA-11,720,1162,1882
VA-2,588,686,1274
VA-3,1749,866,2615
VA-4,1133,1056,2189
VA-5,821,687,1508
VA-6,919,988,1907
VA-7,870,1372,2242
VA-8,693,1139,1832
VA-9,521,390,911
VT-A,865,1317,2182
WA-1,821,1586,2407
WA-10,1271,680,1951
WA-2,667,548,1215
WA-3,579,653,1232
WA-4,1440,562,2002
WA-5,631,644,1275
WA-6,500,616,1116
WA-7,641,1191,1832
WA-8,330,412,742
WA-9,1174,1940,3114
WI-1,2457,2296,4753
WI-2,3180,3870,7050
WI-3,1973,2034,4007
WI-4,5495,2480,7975
WI-5,2482,4026,6508
WI-6,1824,2033,3857
WI-7,2705,2973,5678
WI-8,3001,3680,6681
WV-1,2113,1395,3508
WV-2,2467,1504,3971
WV-3,2544,1094,3638
WY-A,3968,2096,6064
,10598,3266,13864
Total,1151069,772522,1923591

,Recode: Met 3 or more benchmarks,,
Student: Full Congressional district,No,Yes,Total
,N,N,N
AK-A,370,118,488
AL-1,2160,274,2434
AL-2,1577,186,1763
AL-3,2562,246,2808
AL-4,1878,228,2106
AL-5,1837,285,2122
AL-6,1627,252,1879
AL-7,3080,238,3318
AR-1,1288,282,1570
AR-2,1265,364,1629
AR-3,1109,360,1469
AR-4,2036,476,2512
AZ-1,806,156,962
AZ-2,734,137,871
AZ-3,590,58,648
AZ-4,772,158,930
AZ-5,352,183,535
AZ-6,594,196,790
AZ-7,3028,340,3368
AZ-8,704,206,910
AZ-9,284,87,371
CA-1,230,93,323
CA-10,414,171,585
CA-11,363,167,530
CA-12,193,118,311
CA-13,389,148,537
CA-14,390,237,627
CA-15,147,71,218
CA-16,901,174,1075
CA-17,274,199,473
CA-18,102,78,180
CA-19,219,76,295
CA-2,104,58,162
CA-20,489,161,650
CA-21,650,196,846
CA-22,311,67,378
CA-23,45,13,58
CA-24,371,147,518
CA-25,349,128,477
CA-26,270,95,365
CA-27,408,276,684
CA-28,523,152,675
CA-29,199,43,242
CA-3,232,85,317
CA-30,468,197,665
CA-31,859,225,1084
CA-32,313,117,430
CA-33,182,106,288
CA-34,393,89,482
CA-35,671,182,853
CA-36,427,92,519
CA-37,1222,204,1426
CA-38,801,308,1109
CA-39,349,190,539
CA-4,101,77,178
CA-40,769,113,882
CA-41,967,253,1220
CA-42,281,132,413
CA-43,470,110,580
CA-44,1006,173,1179
CA-45,273,154,427
CA-46,85,36,121
CA-47,605,322,927
CA-48,462,174,636
CA-49,142,109,251
CA-5,232,98,330
CA-50,520,290,810
CA-51,419,106,525
CA-52,49,48,97
CA-53,565,238,803
CA-6,768,204,972
CA-7,152,107,259
CA-8,292,64,356
CA-9,460,167,627
CO-1,1743,274,2017
CO-2,893,230,1123
CO-3,1721,318,2039
CO-4,1552,292,1844
CO-5,1141,304,1445
CO-6,2405,603,3008
CO-7,1066,309,1375
CT-1,107,78,185
CT-2,98,79,177
CT-3,116,83,199
CT-4,144,75,219
CT-5,99,76,175
DC-A,155,21,176
DE-A,112,56,168
FL-1,775,214,989
FL-10,2176,321,2497
FL-11,819,181,1000
FL-12,621,165,786
FL-13,450,105,555
FL-14,1143,212,1355
FL-15,617,152,769
FL-16,816,195,1011
FL-17,620,134,754
FL-18,685,126,811
FL-19,964,228,1192
FL-2,745,122,867
FL-20,2261,250,2511
FL-21,1252,328,1580
FL-22,213,44,257
FL-23,1069,292,1361
FL-24,1036,211,1247
FL-25,1955,419,2374
FL-26,1269,262,1531
FL-27,695,153,848
FL-3,643,163,806
FL-4,461,142,603
FL-5,1452,169,1621
FL-6,711,168,879
FL-7,651,152,803
FL-8,1020,289,1309
FL-9,925,144,1069
GA-1,458,95,553
GA-10,556,125,681
GA-11,183,71,254
GA-12,620,109,729
GA-13,1330,190,1520
GA-14,848,211,1059
GA-2,913,80,993
GA-3,458,103,561
GA-4,1119,202,1321
GA-5,383,48,431
GA-6,329,155,484
GA-7,186,87,273
GA-8,351,53,404
GA-9,827,254,1081
HI-1,1201,198,1399
HI-2,1178,112,1290
IA-1,545,280,825
IA-2,573,256,829
IA-3,667,251,918
IA-4,626,323,949
ID-1,303,124,427
ID-2,426,174,600
IL-1,730,63,793
IL-10,122,45,167
IL-11,2823,793,3616
IL-12,1500,319,1819
IL-13,1098,247,1345
IL-14,2875,880,3755
IL-15,1668,390,2058
IL-16,1784,468,2252
IL-17,1437,340,1777
IL-18,821,256,1077
IL-2,2628,445,3073
IL-3,1486,419,1905
IL-4,6258,1336,7594
IL-5,382,109,491
IL-6,52,31,83
IL-7,570,38,608
IL-8,2982,983,3965
IL-9,898,421,1319
IN-1,728,241,969
IN-2,243,114,357
IN-3,256,121,377
IN-4,202,120,322
IN-5,463,128,591
IN-6,223,111,334
IN-7,459,127,586
IN-8,296,136,432
IN-9,396,145,541
KS-1,1000,316,1316
KS-2,521,245,766
KS-3,901,228,1129
KS-4,734,261,995
KY-1,1903,387,2290
KY-2,3249,709,3958
KY-3,1378,208,1586
KY-4,2025,566,2591
KY-5,2756,480,3236
KY-6,1577,332,1909
LA-1,1210,319,1529
LA-2,3204,476,3680
LA-3,2530,504,3034
LA-4,1870,282,2152
LA-5,2765,354,3119
LA-6,1463,360,1823
MA-1,57,42,99
MA-2,75,52,127
MA-3,100,60,160
MA-4,55,58,113
MA-5,118,72,190
MA-6,90,76,166
MA-7,145,64,209
MA-8,98,61,159
MA-9,56,49,105
MD-1,65,41,106
MD-2,143,59,202
MD-3,75,20,95
MD-4,274,53,327
MD-5,184,55,239
MD-6,125,51,176
MD-7,34,6,40
MD-8,237,105,342
ME-1,36,16,52
ME-2,20,9,29
MI-1,1355,350,1705
MI-10,1826,506,2332
MI-11,688,243,931
MI-12,2138,396,2534
MI-13,1563,146,1709
MI-14,2923,219,3142
MI-2,1334,310,1644
MI-3,2378,469,2847
MI-4,1675,301,1976
MI-5,1040,155,1195
MI-6,1573,277,1850
MI-7,1294,269,1563
MI-8,1494,372,1866
MI-9,1780,393,2173
MN-1,594,260,854
MN-2,499,354,853
MN-3,341,175,516
MN-4,717,154,871
MN-5,917,234,1151
MN-6,717,560,1277
MN-7,460,302,762
MN-8,417,257,674
MO-1,1348,125,1473
MO-2,484,236,720
MO-3,1293,637,1930
MO-4,840,333,1173
MO-5,649,112,761
MO-6,1220,457,1677
MO-7,764,320,1084
MO-8,954,295,1249
MS-1,1823,232,2055
MS-2,1592,88,1680
MS-3,1935,172,2107
MS-4,1727,302,2029
MT-A,1618,417,2035
NC-1,1702,132,1834
NC-10,2382,370,2752
NC-11,1575,249,1824
NC-12,734,82,816
NC-13,291,67,358
NC-2,611,77,688
NC-3,2624,335,2959
NC-4,3059,390,3449
NC-5,1014,156,1170
NC-6,2690,386,3076
NC-7,2198,266,2464
NC-8,2850,253,3103
NC-9,2379,452,2831
ND-A,904,239,1143
NE-1,818,269,1087
NE-2,968,216,1184
NE-3,996,330,1326
NH-1,69,44,113
NH-2,51,42,93
NJ-1,155,33,188
NJ-10,558,71,629
NJ-11,104,78,182
NJ-12,70,65,135
NJ-2,144,76,220
NJ-3,87,60,147
NJ-4,147,85,232
NJ-5,142,115,257
NJ-6,171,87,258
NJ-7,180,125,305
NJ-8,689,131,820
NJ-9,189,116,305
NM-1,531,185,716
NM-2,1732,259,1991
NM-3,824,133,957
NV-1,195,42,237
NV-2,656,182,838
NV-3,375,160,535
NV-4,671,153,824
NY-1,154,123,277
NY-10,35,50,85
NY-11,169,177,346
NY-12,10,16,26
NY-13,221,77,298
NY-14,134,154,288
NY-15,191,40,231
NY-16,147,58,205
NY-17,158,99,257
NY-18,152,122,274
NY-19,64,43,107
NY-2,210,163,373
NY-20,71,80,151
NY-21,119,84,203
NY-22,119,75,194
NY-23,96,75,171
NY-24,110,82,192
NY-25,89,77,166
NY-26,121,64,185
NY-27,95,90,185
NY-3,213,233,446
NY-4,136,109,245
NY-5,186,128,314
NY-6,59,106,165
NY-7,212,183,395
NY-8,16,6,22
NY-9,188,83,271
OH-1,1322,444,1766
OH-10,429,167,596
OH-11,599,56,655
OH-12,686,338,1024
OH-13,1002,325,1327
OH-14,654,325,979
OH-15,452,204,656
OH-16,854,385,1239
OH-2,474,174,648
OH-3,1125,278,1403
OH-4,723,357,1080
OH-5,600,274,874
OH-6,866,284,1150
OH-7,1261,703,1964
OH-8,783,394,1177
OH-9,721,160,881
OK-1,1165,332,1497
OK-2,1243,251,1494
OK-3,1177,260,1437
OK-4,1130,319,1449
OK-5,1062,242,1304
OR-1,755,179,934
OR-2,295,87,382
OR-3,484,115,599
OR-4,248,48,296
OR-5,250,55,305
PA-1,74,22,96
PA-10,106,58,164
PA-11,51,42,93
PA-12,99,73,172
PA-13,253,116,369
PA-14,61,10,71
PA-15,154,85,239
PA-16,76,58,134
PA-17,66,35,101
PA-18,189,113,302
PA-2,256,60,316
PA-3,194,91,285
PA-4,112,71,183
PA-5,157,63,220
PA-6,180,138,318
PA-7,73,45,118
PA-8,98,77,175
PA-9,94,54,148
RI-1,45,18,63
RI-2,114,21,135
SC-1,269,69,338
SC-2,632,145,777
SC-3,363,107,470
SC-4,506,140,646
SC-5,460,123,583
SC-6,935,158,1093
SC-7,647,139,786
SD-A,827,360,1187
TN-1,1397,308,1705
TN-2,1186,258,1444
TN-3,2153,374,2527
TN-4,1248,263,1511
TN-5,1479,248,1727
TN-6,2138,459,2597
TN-7,2071,456,2527
TN-8,1677,297,1974
TN-9,2632,220,2852
TX-1,511,114,625
TX-10,121,33,154
TX-11,454,116,570
TX-12,151,67,218
TX-13,525,160,685
TX-14,249,48,297
TX-15,2441,379,2820
TX-16,536,100,636
TX-17,405,88,493
TX-18,131,31,162
TX-19,906,175,1081
TX-2,477,159,636
TX-20,67,18,85
TX-21,152,73,225
TX-22,558,231,789
TX-23,869,195,1064
TX-24,726,194,920
TX-25,283,104,387
TX-26,495,230,725
TX-27,332,65,397
TX-28,807,97,904
TX-29,851,195,1046
TX-3,408,233,641
TX-30,442,60,502
TX-31,385,140,525
TX-32,284,60,344
TX-33,1233,166,1399
TX-34,951,156,1107
TX-35,890,228,1118
TX-36,260,62,322
TX-4,798,228,1026
TX-5,1992,330,2322
TX-6,848,250,1098
TX-7,625,236,861
TX-8,321,112,433
TX-9,224,65,289
UT-1,1525,260,1785
UT-2,2825,451,3276
UT-3,1539,293,1832
UT-4,737,139,876
VA-1,121,64,185
VA-10,198,132,330
VA-11,139,74,213
VA-2,75,38,113
VA-3,357,68,425
VA-4,166,57,223
VA-5,117,42,159
VA-6,155,90,245
VA-7,126,55,181
VA-8,166,68,234
VA-9,103,52,155
VT-A,165,78,243
WA-1,166,88,254
WA-10,381,80,461
WA-2,109,47,156
WA-3,145,53,198
WA-4,702,80,782
WA-5,107,27,134
WA-6,93,23,116
WA-7,77,37,114
WA-8,85,22,107
WA-9,267,98,365
WI-1,663,275,938
WI-2,820,339,1159
WI-3,546,300,846
WI-4,1670,344,2014
WI-5,518,358,876
WI-6,534,287,821
WI-7,745,484,1229
WI-8,880,556,1436
WV-1,600,194,794
WV-2,841,248,1089
WV-3,972,221,1193
WY-A,1206,266,1472
,2828,398,3226
Total,338047,83560,421607

,Recode: Met 3 or more benchmarks,,
Student: Full Congressional district,No,Yes,Total
,N,N,N
AK-A,332,70,402
AL-1,2411,321,2732
AL-2,1765,247,2012
AL-3,2955,342,3297
AL-4,1946,285,2231
AL-5,2131,396,2527
AL-6,1630,283,1913
AL-7,4179,345,4524
AR-1,1675,382,2057
AR-2,1595,472,2067
AR-3,1061,386,1447
AR-4,2340,589,2929
AZ-1,979,184,1163
AZ-2,774,185,959
AZ-3,537,56,593
AZ-4,652,170,822
AZ-5,309,159,468
AZ-6,553,210,763
AZ-7,2678,314,2992
AZ-8,549,141,690
AZ-9,270,111,381
CA-1,214,103,317
CA-10,324,125,449
CA-11,305,141,446
CA-12,174,102,276
CA-13,411,145,556
CA-14,307,190,497
CA-15,129,51,180
CA-16,842,164,1006
CA-17,267,197,464
CA-18,93,88,181
CA-19,166,61,227
CA-2,108,90,198
CA-20,307,112,419
CA-21,525,158,683
CA-22,316,83,399
CA-23,49,18,67
CA-24,292,152,444
CA-25,358,133,491
CA-26,190,93,283
CA-27,391,304,695
CA-28,510,178,688
CA-29,181,44,225
CA-3,204,61,265
CA-30,433,232,665
CA-31,750,223,973
CA-32,254,77,331
CA-33,212,138,350
CA-34,391,103,494
CA-35,570,156,726
CA-36,378,76,454
CA-37,1236,229,1465
CA-38,699,278,977
CA-39,334,222,556
CA-4,100,107,207
CA-40,657,92,749
CA-41,768,208,976
CA-42,221,109,330
CA-43,483,101,584
CA-44,906,143,1049
CA-45,256,231,487
CA-46,62,21,83
CA-47,634,370,1004
CA-48,379,171,550
CA-49,137,127,264
CA-5,166,88,254
CA-50,459,291,750
CA-51,430,131,561
CA-52,57,72,129
CA-53,602,265,867
CA-6,809,212,1021
CA-7,151,110,261
CA-8,277,81,358
CA-9,386,145,531
CO-1,1585,291,1876
CO-2,908,358,1266
CO-3,1560,351,1911
CO-4,1390,270,1660
CO-5,1238,426,1664
CO-6,2096,570,2666
CO-7,901,292,1193
CT-1,115,59,174
CT-2,79,72,151
CT-3,115,69,184
CT-4,140,67,207
CT-5,78,52,130
DC-A,181,27,208
DE-A,103,40,143
FL-1,994,318,1312
FL-10,2535,403,2938
FL-11,884,210,1094
FL-12,670,206,876
FL-13,468,129,597
FL-14,1410,265,1675
FL-15,652,162,814
FL-16,798,239,1037
FL-17,637,121,758
FL-18,773,152,925
FL-19,969,225,1194
FL-2,947,151,1098
FL-20,2641,329,2970
FL-21,1525,342,1867
FL-22,232,57,289
FL-23,1408,350,1758
FL-24,1236,238,1474
FL-25,2266,531,2797
FL-26,1625,383,2008
FL-27,891,193,1084
FL-3,723,178,901
FL-4,511,116,627
FL-5,1727,209,1936
FL-6,873,205,1078
FL-7,812,214,1026
FL-8,1280,397,1677
FL-9,1263,187,1450
GA-1,633,134,767
GA-10,633,177,810
GA-11,185,83,268
GA-12,764,108,872
GA-13,1992,262,2254
GA-14,869,193,1062
GA-2,1294,128,1422
GA-3,514,112,626
GA-4,1742,317,2059
GA-5,539,77,616
GA-6,517,263,780
GA-7,237,108,345
GA-8,457,68,525
GA-9,773,256,1029
HI-1,1424,220,1644
HI-2,1248,146,1394
IA-1,437,220,657
IA-2,521,248,769
IA-3,546,196,742
IA-4,501,245,746
ID-1,295,168,463
ID-2,416,240,656
IL-1,1035,107,1142
IL-10,126,83,209
IL-11,2423,680,3103
IL-12,1675,335,2010
IL-13,1016,266,1282
IL-14,2261,717,2978
IL-15,1602,394,1996
IL-16,1490,397,1887
IL-17,1403,321,1724
IL-18,725,207,932
IL-2,3410,505,3915
IL-3,1620,389,2009
IL-4,6016,1245,7261
IL-5,355,91,446
IL-6,57,35,92
IL-7,731,82,813
IL-8,2586,843,3429
IL-9,1027,576,1603
IN-1,731,182,913
IN-2,231,91,322
IN-3,272,114,386
IN-4,182,96,278
IN-5,597,177,774
IN-6,220,99,319
IN-7,516,103,619
IN-8,284,118,402
IN-9,411,143,554
KS-1,945,329,1274
KS-2,582,278,860
KS-3,925,314,1239
KS-4,795,268,1063
KY-1,1965,434,2399
KY-2,3027,719,3746
KY-3,1724,324,2048
